Shrt_Desc	Calories
"PACE,DRY TACO SEAS MIX"	10
"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD"	97
"BABYFOOD,MEAT,BF,STR"	12
"BABYFOOD,MEAT,BF,STR"	23
"BABYFOOD,MEAT,VEAL,STR"	13
"BABYFOOD,MEAT,PORK,STR"	35
"BABYFOOD,MEAT,HAM,STR"	15
"BABYFOOD,MEAT,HAM,JUNIOR"	27
"BABYFOOD,MEAT,LAMB,STR"	19
"BABYFOOD,MEAT,LAMB,JUNIOR"	32
"BABYFOOD,MEAT,CHICK,STR"	20
"BABYFOOD,MEAT,CHICK,JR"	22
"BABYFOOD,MEAT,CHICK STKS,JR"	19
"BABYFOOD,MEAT,TURKEY,STR"	17
"BABYFOOD,MEAT,TURKEY,JR"	21
"Babyfood, meat, turkey sticks, junior"	19
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS	33
"BABYFOOD,MEAT,MEAT STKS,JR"	18
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR"	14
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR"	14
"BABYFOOD,DINNER,BF LASAGNA,TODD"	22
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR"	10
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR"	9
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU"	16
"BABYFOOD,DINNER,BF NOODLE,STR"	10
"BABYFOOD,MACARONI&CHS,TODD"	93
"BABYFOOD,DINNER,BF&RICE,TODD"	23
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR"	11
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD"	21
"BABYFOOD,DINNER,BF STEW,TODD"	14
"BABYFOOD,DINNER,VEG&BF,STR"	197
"BABYFOOD,DINNER,VEG&BF,JR"	197
"BABYFOOD,DINNER,BF W/VEG"	108
"BABYFOOD,DINNER,VEG&BACON,STR"	177
"BABYFOOD,DINNER,VEG&HAM,STR"	151
"BABYFOOD,DINNER,VEG&HAM,JR"	154
"BABYFOOD,DINNER,VEG&LAMB,STR"	133
"BABYFOOD,DINNER,VEG&LAMB,JR"	14
"BABYFOOD,DINNER,CHICK NOODLE,STR"	11
"BABYFOOD,DINNER,CHICK NOODLE,JR"	9
"BABYFOOD,DINNER,CHICK SOUP,STR"	0
BABYFOOD  DINNER  CHICK STEW  TODD	12
"BABYFOOD,DINNER,VEG CHICK,STR"	151
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR"	18
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR"	18
"BABYFOOD,DINNER,PASTA W/VEG"	68
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR"	12
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR"	15
"BABYFOOD,DINNER,TURKEY&RICE,STR"	8
"BABYFOOD,DINNER,TURKEY&RICE,JR"	9
"BABYFOOD,DINNER,VEG&TURKEY,STR"	123
"BABYFOOD,DINNER,VEG&TURKEY,JR"	136
"BABYFOOD,DINNER,VEG&TURKEY,TODD"	23
"BABYFOOD,DINNER,MACARONI&CHS,STR"	19
"BABYFOOD,DINNER,MACARONI&CHS,JR"	17
"BABYFOOD,VEG,GRN BNS,STR"	65
"BABYFOOD,VEG,GRN BNS,JR"	58
"BABYFOOD,GRN BNS,DICES,TODD"	8
"BABYFOOD,VEG,GRN BNS&POTATOES"	70
"BABYFOOD,VEG,BEETS,STR"	76
"BABYFOOD,VEG,CARROTS,STR"	58
"BABYFOOD,VEG,CARROTS,JR"	72
"BABYFOOD,VEG,SQUASH,STR"	4
"BABYFOOD,VEG,SQUASH,JR"	4
"BABYFOOD,VEG,SWT POTATOES,STR"	128
"BABYFOOD,VEG,SWT POTATOES,JR"	134
"BABYFOOD,POTATOES,TODDLER"	85
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN"	57
"BABYFOOD,APPLS,DICES,TODD"	14
"BABYFOOD,FRUIT,APPLSAUC,STR"	7
"BABYFOOD,FRUIT,APPLSAUC,JR"	6
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR"	9
"BABYFOOD,VEG,CORN,CRMD,STR"	137
"BABYFOOD,VEG,CORN,CRMD,JR"	156
"BABYFOOD,VEG,PEAS,STR"	8
"BABYFOOD,PEAS,DICES,TODD"	18
"BABYFOOD,VEG,SPINACH,CRMD,STR"	89
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR"	9
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR"	8
"BABYFOOD,FRUIT,PEACHES,STR"	11
"BABYFOOD,FRUIT,PEACHES,JR"	11
"BABYFOOD,FRUIT,PEARS,STR"	7
"BABYFOOD,FRUIT,PEARS,JR"	7
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR"	11
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR"	11
